Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
78;19700190342;"Australian Planner";journal;"21506841, 07293682";"Taylor and Francis Ltd.";No;No;0,506;Q2;31;15;54;642;94;51;1,62;42,80;53,33;0;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-2018, 2020-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2)";"Social Sciences"
79;13954;"Journal of the Urban Planning and Development Division, ASCE";journal;"07339488";"American Society of Civil Engineers (ASCE)";No;No;0,506;Q2;59;113;370;6798;883;370;2,18;60,16;40,72;0;102;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1979-2025";"Civil and Structural Engineering (Q2); Development (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Engineering; Social Sciences"
80;15619;"Journal of Contemporary Ethnography";journal;"08912416, 15525414";"SAGE Publications Inc.";No;No;0,504;Q2;69;35;100;2155;204;98;1,79;61,57;56,60;0;16;United States;Northern America;"SAGE Publications Inc.";"1972-1982, 1984-2025";"Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q2); Urban Studies (Q2)";"Social Sciences"
81;5600155048;"Space and Culture";journal;"12063312";"SAGE Publications Inc.";No;No;0,502;Q2;50;43;168;2073;260;165;1,36;48,21;57,14;0;27;United States;Northern America;"SAGE Publications Inc.";"1997-2025";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Geography, Planning and Development (Q2); Urban Studies (Q2); Tourism, Leisure and Hospitality Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
82;29568;"Town Planning Review";journal;"1478341X, 00410020";"Liverpool University Press";No;No;0,476;Q2;51;43;143;1763;217;140;1,20;41,00;41,67;1;27;United Kingdom;Western Europe;"Liverpool University Press";"1977-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2)";"Social Sciences"
83;21101169889;"Traffic Safety Research";journal;"20043082";"Lund University Faculty of Engineering";Yes;No;0,468;Q2;5;36;37;1379;59;36;1,71;38,31;29,63;5;32;Sweden;Western Europe;"Lund University Faculty of Engineering";"2021-2025";"Safety Research (Q2); Safety, Risk, Reliability and Quality (Q2); Urban Studies (Q2); Transportation (Q3)";"Engineering; Social Sciences"
84;21100873340;"City, Territory and Architecture";journal;"21952701";"SpringerOpen";Yes;No;0,460;Q2;23;25;86;1450;197;86;2,32;58,00;61,76;0;22;United Kingdom;Western Europe;"SpringerOpen";"2014-2025";"Architecture (Q1); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Engineering; Social Sciences"
85;13800154701;"Open House International";journal;"26339838, 01682601";"Emerald Group Publishing Ltd.";No;No;0,458;Q2;18;61;112;3625;297;111;2,58;59,43;44,06;0;45;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2025";"Architecture (Q1); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Engineering; Social Sciences"
86;21101100205;"Journal of Sustainability Research";journal;"26326582";"";No;No;0,451;Q2;13;78;50;4719;111;47;2,03;60,50;40,65;0;69;United Kingdom;Western Europe;"";"2019-2025";"Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Environmental Science; Social Sciences"
87;12452;"Raumforschung und Raumordnung";journal;"18694179, 00340111";"Oekom - Gesellschaft fuer Oekologische Kommunikation mbH";Yes;No;0,449;Q2;24;33;128;1580;142;119;1,02;47,88;45,36;0;23;Germany;Western Europe;"Oekom - Gesellschaft fuer Oekologische Kommunikation mbH";"1977-1987, 1990-1991, 1993-2024";"Earth and Planetary Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
88;11900154360;"Revista INVI";journal;"07181299, 07188358";"Universidad de Chile";Yes;Yes;0,448;Q2;22;18;108;874;145;98;1,10;48,56;32,08;0;13;Chile;Latin America;"Universidad de Chile";"2008-2024";"Architecture (Q1); Urban Studies (Q2)";"Engineering; Social Sciences"
89;23588;"Journal of Real Estate Research";journal;"08965803";"Taylor and Francis Ltd.";No;No;0,447;Q2;40;36;66;1812;109;66;1,62;50,33;21,28;1;16;United States;Northern America;"Taylor and Francis Ltd.";"2003-2025";"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Urban Studies (Q2); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
90;21100274341;"Environment and Urbanization ASIA";journal;"09763546, 09754253";"SAGE Publications Inc.";No;No;0,435;Q2;24;21;82;879;153;74;1,16;41,86;40,82;0;18;United Kingdom;Western Europe;"SAGE Publications Inc.";"2010-2024";"Urban Studies (Q2)";"Social Sciences"
91;21100242603;"Journal of Place Management and Development";journal;"17538343, 17538335";"Emerald Group Publishing Ltd.";No;No;0,435;Q2;43;32;77;2333;199;75;2,58;72,91;44,16;0;21;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2025";"Business and International Management (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Marketing (Q3); Strategy and Management (Q3); Tourism, Leisure and Hospitality Management (Q3)";"Business, Management and Accounting; Social Sciences"
92;15162;"Eure";journal;"07176236, 02507161";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,431;Q2;39;36;120;2000;127;118;1,12;55,56;37,80;1;22;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"1979, 1982, 1996-1998, 2001-2024";"Urban Studies (Q2)";"Social Sciences"
93;21101055932;"Applied Mobilities";journal;"23800127, 23800135";"Routledge";No;No;0,430;Q2;17;31;67;1525;123;63;2,00;49,19;53,19;0;16;United Kingdom;Western Europe;"Routledge";"2016-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2); Transportation (Q3)";"Social Sciences"
94;21100860053;"eTropic";journal;"14482940";"James Cook University";Yes;Yes;0,416;Q2;9;26;66;936;97;66;1,35;36,00;35,29;0;7;Australia;Pacific Region;"James Cook University";"2018-2024";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Social Sciences (miscellaneous) (Q2); Urban Studies (Q2)";"Arts and Humanities; Social Sciences"
95;21101037130;"Asia-Pacific Journal of Regional Science";journal;"25097954";"Springer Science and Business Media Deutschland GmbH";No;No;0,412;Q2;19;42;143;2566;361;139;2,41;61,10;38,64;1;39;Netherlands;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2017-2025";"Development (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Urban Studies (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Economics, Econometrics and Finance; Energy; Social Sciences"
96;21100456855;"International Review for Spatial Planning and Sustainable Development";journal;"21873666";"Spatial Planning and Sustainable Development";No;No;0,408;Q2;17;56;153;2622;293;149;1,92;46,82;36,49;0;44;Japan;Asiatic Region;"Spatial Planning and Sustainable Development";"2013-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
97;21100932523;"Future Cities and Environment";journal;"23639075";"Ubiquity Press";Yes;No;0,402;Q2;11;30;49;1258;96;49;1,91;41,93;34,15;0;30;United Kingdom;Western Europe;"Ubiquity Press";"2019-2024";"Architecture (Q1); Civil and Structural Engineering (Q2); Geography, Planning and Development (Q2); Mechanical Engineering (Q2); Urban Studies (Q2); Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3)";"Engineering; Environmental Science; Social Sciences"
98;21100299413;"Journal of Cultural Heritage Management and Sustainable Development";journal;"20441274, 20441266";"Emerald Group Publishing Ltd.";No;No;0,398;Q2;26;118;178;5444;326;174;1,74;46,14;48,28;0;109;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2025";"Conservation (Q1); Business, Management and Accounting (miscellaneous) (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
99;21100788265;"Housing and Society";journal;"23760923, 08882746";"Taylor and Francis Ltd.";No;No;0,395;Q2;11;22;48;1069;88;45;2,12;48,59;46,81;0;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2025";"Geography, Planning and Development (Q2); Sociology and Political Science (Q2); Urban Studies (Q2)";"Social Sciences"
100;21100893188;"Revista de Urbanismo";journal;"07175051";"Universidad de Chile";Yes;Yes;0,392;Q2;8;21;71;1194;76;69;0,69;56,86;68,42;0;18;Chile;Latin America;"Universidad de Chile";"2018-2024";"Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Urban Studies (Q2)";"Environmental Science; Social Sciences"
101;19900192151;"Architecture, City and Environment";journal;"18864805, 18877052";"Universitat Politecnica de Catalunya";Yes;No;0,385;Q2;12;42;142;1955;128;141;1,03;46,55;38,20;0;37;Spain;Western Europe;"Universitat Politecnica de Catalunya";"2011-2024";"Architecture (Q1); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Engineering; Social Sciences"
102;21100872806;"Environmental and Socio-Economic Studies";journal;"23540079";"De Gruyter Open Ltd";Yes;Yes;0,381;Q2;13;25;78;1342;131;77;1,70;53,68;46,27;0;17;Germany;Western Europe;"De Gruyter Open Ltd";"2018-2024";"Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Urban Studies (Q2); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)";"Environmental Science; Social Sciences"
103;21100908514;"Papers in Applied Geography";journal;"2375494X, 23754931";"Routledge";No;No;0,374;Q2;17;46;78;2403;142;78;2,17;52,24;32,23;0;24;United States;Northern America;"Routledge";"2015-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2); Earth and Planetary Sciences (miscellaneous) (Q3)";"Earth and Planetary Sciences; Social Sciences"
104;21101162822;"Urban, Planning and Transport Research";journal;"21650020";"Taylor and Francis Ltd.";Yes;No;0,364;Q2;11;52;113;2842;213;113;1,95;54,65;32,56;2;43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2019-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2); Transportation (Q3)";"Social Sciences"
105;5700161063;"Urban Forum";journal;"10153802";"Springer Netherlands";No;No;0,361;Q2;46;32;82;2092;132;81;1,60;65,38;39,68;1;29;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2)";"Social Sciences"
106;21101055962;"Journal of Park and Recreation Administration";journal;"21606862, 07351968";"Sagamore Publishing LLC";No;No;0,356;Q2;12;28;124;1261;139;116;1,08;45,04;60,82;0;18;United States;Northern America;"Sagamore Publishing LLC";"2019-2024";"Nature and Landscape Conservation (Q2); Social Sciences (miscellaneous) (Q2); Urban Studies (Q2); Tourism, Leisure and Hospitality Management (Q3)";"Business, Management and Accounting; Environmental Science; Social Sciences"
107;19700182024;"Proceedings of the Institution of Civil Engineers: Urban Design and Planning";journal;"17550807, 17550793";"ICE Publishing";No;No;0,352;Q2;24;19;51;995;81;45;1,66;52,37;47,22;0;15;United Kingdom;Western Europe;"ICE Publishing";"2009-2025";"Architecture (Q1); Geography, Planning and Development (Q2); Urban Studies (Q2); Civil and Structural Engineering (Q3)";"Engineering; Social Sciences"
108;21101023625;"Chinese Journal of Urban and Environmental Studies";journal;"2345752X, 23457481";"World Scientific";Yes;Yes;0,351;Q2;9;19;79;878;134;79;1,58;46,21;31,91;0;16;United States;Northern America;"World Scientific";"2019-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2); Economics and Econometrics (Q3); Global and Planetary Change (Q3); Management, Monitoring, Policy and Law (Q3)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
109;21100901135;"Journal of Sustainable Real Estate";journal;"19498276, 19498284";"Taylor and Francis Ltd.";Yes;No;0,344;Q2;7;4;20;255;35;19;1,73;63,75;30,00;0;4;United States;Northern America;"Taylor and Francis Ltd.";"2018-2024";"Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Urban Studies (Q2); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
110;21100828132;"Aestimum";journal;"15926117, 17242118";"Firenze University Press";Yes;Yes;0,342;Q2;15;10;30;532;71;30;2,60;53,20;40,91;0;3;Italy;Western Europe;"Firenze University Press";"2008-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Urban Studies (Q2); Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
111;11900154315;"Letters in Spatial and Resource Sciences";journal;"18644031, 1864404X";"Springer Verlag";No;No;0,336;Q2;23;31;103;1089;185;103;1,90;35,13;33,33;0;23;Germany;Western Europe;"Springer Verlag";"2008-2025";"Demography (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
112;21100211748;"Scienze Regionali";journal;"17203929, 2035603X";"Societa Editrice Il Mulino";No;No;0,336;Q2;18;13;71;845;65;67;0,88;65,00;66,67;0;4;Italy;Western Europe;"Societa Editrice Il Mulino";"2012-2024";"Geography, Planning and Development (Q2); Urban Studies (Q2); Economics and Econometrics (Q3); Food Animals (Q3); Public Administration (Q3)";"Economics, Econometrics and Finance; Social Sciences; Veterinary"
113;21100223521;"Journal of Architecture and Urbanism";journal;"20297947, 20297955";"Vilnius Gediminas Technical University";Yes;Yes;0,333;Q2;13;14;56;704;60;56;1,03;50,29;43,24;0;9;Lithuania;Eastern Europe;"Vilnius Gediminas Technical University";"2012-2025";"Architecture (Q1); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Engineering; Social Sciences"
114;21100244868;"AHURI Final Report";journal;"18347223";"Australian Housing and Urban Research Institute";No;No;0,331;Q2;17;11;58;1211;74;58;1,24;110,09;61,82;3;7;Australia;Pacific Region;"Australian Housing and Urban Research Institute";"2008-2025";"Urban Studies (Q2); Development (Q3); Public Administration (Q3)";"Social Sciences"
115;21100451311;"TECHNE";journal;"22390243";"Firenze University Press";Yes;No;0,328;Q2;14;73;254;1081;179;237;0,80;14,81;58,99;0;44;Italy;Western Europe;"Firenze University Press";"2015-2024";"Architecture (Q2); Urban Studies (Q2); Building and Construction (Q3); Education (Q3); Health (social science) (Q3)";"Engineering; Social Sciences"
116;21100381612;"Ciudad y Territorio Estudios Territoriales";journal;"11334762, 26593254";"Ministerio de Fomento";Yes;No;0,326;Q2;12;73;215;3571;170;206;0,73;48,92;47,44;0;62;Spain;Western Europe;"Ministerio de Fomento";"2014-2024";"Urban Studies (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
117;23584;"Journal of Real Estate Literature";journal;"09277544";"Taylor and Francis Ltd.";No;No;0,326;Q2;24;9;20;511;25;20;0,88;56,78;21,74;0;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Urban Studies (Q2); Business, Management and Accounting (miscellaneous) (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
118;16909;"Promet - Traffic and Transportation";journal;"03535320";"Faculty of Transport and Traffic Engineering";Yes;No;0,321;Q2;27;76;214;2711;292;208;1,41;35,67;31,76;0;50;Croatia;Eastern Europe;"Faculty of Transport and Traffic Engineering";"2001-2025";"Automotive Engineering (Q2); Engineering (miscellaneous) (Q2); Urban Studies (Q2); Aerospace Engineering (Q3); Civil and Structural Engineering (Q3); Ocean Engineering (Q3); Safety, Risk, Reliability and Quality (Q3); Transportation (Q3)";"Engineering; Social Sciences"
119;85530;"City and Society";journal;"08930465";"Wiley-Blackwell";No;No;0,316;Q2;34;22;101;858;55;76;0,49;39,00;66,67;0;8;United States;Northern America;"Wiley-Blackwell";"1987-1992, 1994, 2001-2024";"Urban Studies (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
120;100888;"Built Environment";journal;"02637960";"Alexandrine Press";No;No;0,312;Q2;51;27;96;1305;94;95;0,95;48,33;44,90;0;17;United Kingdom;Western Europe;"Alexandrine Press";"1981-2024";"Urban Studies (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
121;21101162625;"Agathon - International Journal of Architecture, Art and Design";journal;"2532683X, 24649309";"Universita di Palermo";Yes;No;0,304;Q2;5;54;55;2316;80;53;1,45;42,89;55,41;0;35;Italy;Western Europe;"Universita di Palermo";"2023-2024";"Architecture (Q2); Urban Studies (Q2); Building and Construction (Q3)";"Engineering; Social Sciences"
122;21100887441;"Folia Geographica";journal;"24541001, 13366157";"University of Presov";Yes;Yes;0,302;Q2;11;8;35;734;59;35;2,15;91,75;36,84;0;3;Slovakia;Eastern Europe;"University of Presov";"2018-2024";"Cultural Studies (Q1); Urban Studies (Q2); Demography (Q3); Geography, Planning and Development (Q3)";"Social Sciences"
123;21101257967;"Indonesian Journal of Urban and Environmental Technology";journal;"25799150, 25799207";"Trisakti University";No;No;0,302;Q2;6;15;44;408;53;44;1,17;27,20;50,00;0;12;Indonesia;Asiatic Region;"Trisakti University";"2020-2024";"Urban Studies (Q2); Environmental Engineering (Q3); Environmental Science (miscellaneous) (Q3); Pollution (Q3); Waste Management and Disposal (Q3)";"Environmental Science; Social Sciences"
124;21100468670;"International Review of Civil Engineering";journal;"20369913, 2533168X";"Praise Worthy Prize S.r.l";No;No;0,301;Q2;16;44;156;1811;204;156;1,37;41,16;26,85;0;17;Italy;Western Europe;"Praise Worthy Prize S.r.l";"2015-2024";"Architecture (Q2); Urban Studies (Q2); Building and Construction (Q3); Civil and Structural Engineering (Q3); Computational Mechanics (Q3); Mechanics of Materials (Q3); Safety, Risk, Reliability and Quality (Q3)";"Engineering; Social Sciences"
125;21100301417;"European Journal of Geography";journal;"24107433, 17921341";"European Association of Geographers";Yes;Yes;0,299;Q2;17;25;81;1533;99;81;1,51;61,32;33,80;0;17;Belgium;Western Europe;"European Association of Geographers";"2010-2012, 2014-2025";"Cultural Studies (Q1); Urban Studies (Q2); Demography (Q3); Geography, Planning and Development (Q3)";"Social Sciences"
126;12600154786;"European Journal of Spatial Development";journal;"16509544";"Politecnico di Torino";Yes;Yes;0,296;Q2;14;12;25;771;22;25;0,88;64,25;52,17;0;6;Italy;Western Europe;"Politecnico di Torino";"2008-2020, 2022-2024";"Urban Studies (Q2); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
127;21100322898;"Journal of Urban and Regional Analysis";journal;"20674082, 20689969";"Bucharest University Press";Yes;Yes;0,296;Q2;14;11;48;812;56;48;1,23;73,82;53,13;0;8;Romania;Eastern Europe;"Bucharest University Press";"2009-2024";"Urban Studies (Q2)";"Social Sciences"
128;9100153110;"Boletin de la Asociacion de Geografos Espanoles";journal;"26053322, 02129426";"Radcliffe Cardiology";Yes;No;0,288;Q2;29;24;158;1497;149;157;0,79;62,38;33,33;0;12;Spain;Western Europe;"Radcliffe Cardiology";"2006-2025";"Urban Studies (Q2); Earth-Surface Processes (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
129;19900194907;"Planning Malaysia";journal;"16756215, 01280945";"Malaysian Institute Of Planners";No;No;0,279;Q2;17;239;454;7259;617;454;1,42;30,37;47,76;0;168;Malaysia;Asiatic Region;"Malaysian Institute Of Planners";"2003-2025";"Urban Studies (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
130;15887;"Journal of Urban History";journal;"15526771, 00961442";"SAGE Publications Inc.";No;No;0,278;Q2;35;115;201;591;159;199;0,74;5,14;41,91;2;63;United States;Northern America;"SAGE Publications Inc.";"1974-2024";"History (Q1); Sociology and Political Science (Q2); Urban Studies (Q2)";"Arts and Humanities; Social Sciences"
131;21101123414;"Town and Regional Planning";journal;"1012280X, 24150495";"University of the Free State";Yes;Yes;0,275;Q2;6;14;50;669;51;42;0,89;47,79;17,39;0;11;South Africa;Africa;"University of the Free State";"2019-2024";"Urban Studies (Q2); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
132;21101121574;"Journal of Housing Research";journal;"26911337, 10527001";"Informa UK Limited";No;No;0,271;Q2;23;14;34;539;30;30;0,96;38,50;37,50;0;11;United Kingdom;Western Europe;"Informa UK Limited";"1998-2000, 2004, 2007-2024";"Urban Studies (Q2); Business, Management and Accounting (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
133;21100915995;"GeoScape";journal;"18021115";"Sciendo";Yes;No;0,270;Q2;10;13;40;903;52;40;0,77;69,46;53,13;0;11;Poland;Eastern Europe;"Sciendo";"2019-2024";"Urban Studies (Q2); Ecology (Q3); Geography, Planning and Development (Q3); Nature and Landscape Conservation (Q3)";"Environmental Science; Social Sciences"
134;21101185482;"World Regional Studies";journal;"10049479";"Editorial Department of World Regional Studies";No;No;0,269;Q2;13;170;396;6762;358;396;0,82;39,78;42,44;0;112;China;Asiatic Region;"Editorial Department of World Regional Studies";"2019-2025";"Political Science and International Relations (Q2); Urban Studies (Q2); Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)";"Earth and Planetary Sciences; Social Sciences"
135;21100909464;"Acta Scientiarum Polonorum, Administratio Locorum";journal;"24500771, 16440749";"Publisher of the University of Warmia and Mazury in Olsztyn";Yes;Yes;0,266;Q2;8;41;99;1979;112;99;1,01;48,27;59,79;0;29;Poland;Eastern Europe;"Publisher of the University of Warmia and Mazury in Olsztyn";"2019-2024";"Urban Studies (Q2); Geography, Planning and Development (Q3); Nature and Landscape Conservation (Q3); Transportation (Q3)";"Environmental Science; Social Sciences"
136;21101043299;"Journal of Islamic Architecture";journal;"23564644, 20862636";"Maulana Malik Ibrahim State Islamic University of Malang";No;No;0,266;Q2;5;40;102;1534;70;102;0,65;38,35;42,70;0;15;Indonesia;Asiatic Region;"Maulana Malik Ibrahim State Islamic University of Malang";"2019-2024";"Religious Studies (Q1); Archeology (arts and humanities) (Q2); Architecture (Q2); History and Philosophy of Science (Q2); Urban Studies (Q2); Building and Construction (Q3)";"Arts and Humanities; Engineering; Social Sciences"
137;69182;"Urban Morphology";journal;"10274278";"International Seminar on Urban Form";No;No;0,266;Q2;32;18;66;491;65;42;0,83;27,28;36,67;0;8;France;Western Europe;"International Seminar on Urban Form";"1997-2024";"Archeology (Q2); Archeology (arts and humanities) (Q2); Urban Studies (Q2)";"Arts and Humanities; Social Sciences"
138;21101120602;"HBRC Journal";journal;"16874048, 20909934";"Taylor and Francis Ltd.";Yes;No;0,263;Q2;47;44;61;1354;76;61;0,87;30,77;38,66;1;24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2025";"Architecture (Q2); Urban Studies (Q2); Building and Construction (Q3); Civil and Structural Engineering (Q3); Environmental Engineering (Q3); Geotechnical Engineering and Engineering Geology (Q3); Materials Science (miscellaneous) (Q3)";"Earth and Planetary Sciences; Engineering; Environmental Science; Materials Science; Social Sciences"
139;21100889410;"Journal of Regional and City Planning";journal;"25026429";"ITB Journal Publisher";Yes;No;0,262;Q3;11;15;55;911;68;55;1,03;60,73;30,00;0;15;Indonesia;Asiatic Region;"ITB Journal Publisher";"2017-2024";"Development (Q3); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Social Sciences"
140;21100981747;"Urbano";journal;"07173997, 07183607";"Universidad del Bio-Bio";Yes;Yes;0,262;Q3;6;18;58;580;36;52;0,63;32,22;43,24;1;11;Chile;Latin America;"Universidad del Bio-Bio";"2016-2024";"Urban Studies (Q3)";"Social Sciences"
141;21100370022;"Regional Research of Russia";journal;"20799713, 20799705";"Pleiades Publishing";No;No;0,259;Q3;19;52;213;1783;134;213;0,63;34,29;45,05;0;36;United States;Northern America;"Pleiades Publishing";"2011-2024";"Cultural Studies (Q1); Earth and Planetary Sciences (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3); Public Administration (Q3); Urban Studies (Q3)";"Earth and Planetary Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
142;18000156709;"Bulletin of Geography. Socio-economic Series";journal;"17324254, 20838298";"Nicolaus Copernicus University";Yes;Yes;0,255;Q3;25;38;122;2494;118;122;0,99;65,63;48,89;0;25;Poland;Eastern Europe;"Nicolaus Copernicus University";"2003-2024";"Cultural Studies (Q1); Demography (Q3); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Social Sciences"
143;19700170481;"Bitacora Urbano Territorial";journal;"01247913, 2027145X";"Universidad Nacional de Colombia";Yes;Yes;0,254;Q3;11;32;170;1024;86;162;0,41;32,00;38,89;0;27;Colombia;Latin America;"Universidad Nacional de Colombia";"2009-2024";"Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Arts and Humanities; Social Sciences"
144;21100828738;"Critical Housing Analysis";journal;"23362839";"Institute of Sociology of the Czech Academy of Sciences";Yes;Yes;0,252;Q3;16;22;42;684;40;41;0,63;31,09;41,38;0;20;Czech Republic;Eastern Europe;"Institute of Sociology of the Czech Academy of Sciences";"2014-2024";"Geography, Planning and Development (Q3); Sociology and Political Science (Q3); Urban Studies (Q3)";"Social Sciences"
145;20500195076;"Urbani Izziv";journal;"18558399, 03536483";"Urban Planning Institute of the Republic of Slovenia";Yes;Yes;0,252;Q3;23;13;73;571;67;71;1,03;43,92;57,14;0;10;Slovenia;Eastern Europe;"Urban Planning Institute of the Republic of Slovenia";"1994-1995, 1997-2024";"Cultural Studies (Q1); Architecture (Q2); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Engineering; Social Sciences"
146;144824;"Standort";journal;"01743635";"Springer Verlag";No;No;0,237;Q3;7;55;98;812;38;69;0,44;14,76;36,23;2;23;Germany;Western Europe;"Springer Verlag";"2005-2024";"Development (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Social Sciences (miscellaneous) (Q3); Urban Studies (Q3)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
147;21100942116;"Journal of Urban Culture Research";journal;"24081213, 22288279";"Chulalongkorn University, Faculty of Fine and Applied Arts";No;No;0,231;Q3;5;39;102;1271;66;97;0,65;32,59;39,29;0;20;Thailand;Asiatic Region;"Chulalongkorn University, Faculty of Fine and Applied Arts";"2011, 2019-2024";"History (Q1); Music (Q1); Visual Arts and Performing Arts (Q1); Urban Studies (Q3)";"Arts and Humanities; Social Sciences"
148;22455;"Urban History";journal;"09639268, 14698706";"Cambridge University Press";No;No;0,231;Q3;28;75;124;6472;51;121;0,38;86,29;42,27;0;26;United Kingdom;Western Europe;"Cambridge University Press";"1974-2025";"History (Q1); Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Arts and Humanities; Social Sciences"
149;28667;"Geographia Polonica";journal;"00167282, 23007362";"Polska Akademia Nauk";Yes;No;0,228;Q3;24;24;74;1718;67;74;0,76;71,58;39,74;0;11;Poland;Eastern Europe;"Polska Akademia Nauk";"1972, 1975-1986, 1988-1989, 1992-2024";"Cultural Studies (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Earth and Planetary Sciences; Social Sciences"
