Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
18;21542;"Urban Review";journal;"15731960, 00420972";"Springer Netherlands";No;No;1,223;Q1;59;49;94;3210;312;93;2,95;65,51;75,68;0;26;Netherlands;Western Europe;"Springer Netherlands";"1967-1976, 1978-2025";"Education (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
19;21101185683;"Journal of Race Ethnicity and the City";journal;"26884674, 26884682";"Routledge";No;No;1,220;Q1;9;16;29;1220;112;27;1,58;76,25;71,43;1;10;United States;Northern America;"Routledge";"2020-2024";"Anthropology (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
20;13857;"Housing, Theory and Society";journal;"16512278, 14036096";"Taylor and Francis Ltd.";No;No;1,194;Q1;60;56;101;3243;434;100;3,28;57,91;54,44;0;46;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2025";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
21;13312;"Journal of Urban Technology";journal;"10630732, 14661853";"Routledge";No;No;1,186;Q1;60;42;101;2933;558;90;4,19;69,83;25,49;2;35;United Kingdom;Western Europe;"Routledge";"1992-2025";"Urban Studies (Q1)";"Social Sciences"
22;21101021196;"Environment and Planning B: Urban Analytics and City Science";journal;"23998083, 23998091";"SAGE Publications Ltd";No;No;1,073;Q1;117;249;509;10153;2105;472;3,72;40,78;36,91;3;151;United Kingdom;Western Europe;"SAGE Publications Ltd";"2017-2025";"Architecture (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Urban Studies (Q1)";"Engineering; Environmental Science; Social Sciences"
23;29643;"Urban Affairs Review";journal;"10780874";"SAGE Publications Inc.";No;No;1,071;Q1;88;102;185;6367;649;179;3,21;62,42;46,52;8;63;United States;Northern America;"SAGE Publications Inc.";"1965-2025";"Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
24;21101039477;"City and Environment Interactions";journal;"25902520";"Elsevier B.V.";Yes;No;1,062;Q1;21;53;68;4016;373;68;5,18;75,77;37,17;0;52;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
25;21100907127;"Journal of Urban Management";journal;"25890360, 22265856";"Elsevier B.V.";Yes;No;1,055;Q1;38;71;119;4378;693;107;5,83;61,66;36,07;1;59;Netherlands;Western Europe;"Elsevier B.V.";"2012-2025";"Geography, Planning and Development (Q1); Public Administration (Q1); Urban Studies (Q1)";"Social Sciences"
26;21101063838;"Regional Sustainability";journal;"2666660X, 20970129";"KeAi Communications Co.";Yes;Yes;1,053;Q1;20;40;96;2521;593;96;5,98;63,03;30,25;0;40;China;Asiatic Region;"KeAi Communications Co.";"2020-2024";"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Social Sciences"
27;26599;"European Urban and Regional Studies";journal;"09697764, 14617145";"SAGE Publications Ltd";No;No;1,045;Q1;79;43;96;2686;383;83;3,46;62,47;43,43;2;31;United Kingdom;Western Europe;"SAGE Publications Ltd";"1994-2025";"Environmental Science (miscellaneous) (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
28;21100943534;"Transportation Research Interdisciplinary Perspectives";journal;"25901982";"Elsevier Ltd";Yes;No;1,010;Q1;56;295;650;17676;3468;645;4,55;59,92;35,09;7;206;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2025";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Urban Studies (Q1); Transportation (Q2)";"Decision Sciences; Engineering; Environmental Science; Social Sciences"
29;5700161712;"City and Community";journal;"15356841";"SAGE Publications Ltd";No;No;1,003;Q1;50;21;55;1643;196;52;3,74;78,24;43,90;0;14;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2025";"Urban Studies (Q1)";"Social Sciences"
30;21100385605;"Smart and Sustainable Built Environment";journal;"20466102, 20466099";"Emerald Group Publishing Ltd.";No;No;0,991;Q1;36;178;163;13296;1228;161;6,96;74,70;30,58;0;130;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2025";"Architecture (Q1); Building and Construction (Q1); Civil and Structural Engineering (Q1); Cultural Studies (Q1); Human Factors and Ergonomics (Q1); Urban Studies (Q1); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering; Environmental Science; Social Sciences"
31;21100229269;"International Journal of Urban Sciences";journal;"12265934, 21616779";"Taylor and Francis Ltd.";No;No;0,952;Q1;34;81;121;5543;592;117;4,53;68,43;42,68;0;70;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
32;13928;"Journal of Planning Education and Research";journal;"0739456X, 15526577";"SAGE Publications Inc.";No;No;0,933;Q1;91;226;214;14022;662;182;2,75;62,04;46,59;0;162;United States;Northern America;"SAGE Publications Inc.";"1981-2025";"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
33;21100283790;"Case Studies on Transport Policy";journal;"22136258, 2213624X";"Elsevier B.V.";No;No;0,897;Q1;44;172;559;9657;2220;554;4,03;56,15;32,62;2;134;Netherlands;Western Europe;"Elsevier B.V.";"2013-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1); Transportation (Q2)";"Social Sciences"
34;21100774809;"Crime Science";journal;"21937680";"SpringerOpen";Yes;No;0,881;Q1;37;43;60;2620;246;60;3,03;60,93;36,81;1;22;United Kingdom;Western Europe;"SpringerOpen";"2013-2024";"Cultural Studies (Q1); Law (Q1); Safety Research (Q1); Urban Studies (Q1)";"Social Sciences"
35;21101038730;"International Journal of Geoheritage and Parks";journal;"25774441, 2577445X";"KeAi Communications Co.";Yes;Yes;0,879;Q1;25;44;120;2625;689;118;5,62;59,66;35,43;0;40;China;Asiatic Region;"KeAi Communications Co.";"2018-2025";"Development (Q1); Geography, Planning and Development (Q1); Geology (Q1); Nature and Landscape Conservation (Q1); Social Sciences (miscellaneous) (Q1); Urban Studies (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
36;20898;"Environment and Urbanization";journal;"09562478, 17460301";"SAGE Publications Ltd";No;No;0,866;Q1;95;31;90;1794;272;81;2,10;57,87;58,06;5;26;United Kingdom;Western Europe;"SAGE Publications Ltd";"1989-2025";"Environmental Science (miscellaneous) (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
37;145570;"Urban Ecosystems";journal;"15731642, 10838155";"Springer";No;No;0,831;Q1;85;186;395;13812;1237;393;2,93;74,26;46,47;1;176;United States;Northern America;"Springer";"1997, 2001, 2005-2025";"Ecology (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
38;11800154590;"IATSS Research";journal;"03861112";"Elsevier B.V.";Yes;No;0,827;Q1;44;52;179;2187;759;174;3,79;42,06;19,53;0;42;Netherlands;Western Europe;"Elsevier B.V.";"2008-2025";"Engineering (miscellaneous) (Q1); Safety Research (Q1); Urban Studies (Q1); Transportation (Q2)";"Engineering; Social Sciences"
39;21101060166;"Research in Globalization";journal;"2590051X";"Elsevier B.V.";Yes;No;0,804;Q1;23;81;143;5836;756;141;5,21;72,05;28,38;3;71;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Environmental Science (miscellaneous) (Q2); Global and Planetary Change (Q2)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
40;21101142737;"Computational Urban Science";journal;"27306852";"Springer";Yes;Yes;0,803;Q1;14;48;111;2811;543;111;4,36;58,56;37,04;1;40;Singapore;Asiatic Region;"Springer";"2021-2025";"Urban Studies (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Environmental Science (miscellaneous) (Q2)";"Computer Science; Environmental Science; Social Sciences"
41;21101072515;"Frontiers in Sustainable Cities";journal;"26249634";"Frontiers Media SA";Yes;No;0,799;Q1;29;120;482;7016;1643;448;2,39;58,47;48,32;0;104;Switzerland;Western Europe;"Frontiers Media SA";"2019-2025";"Public Administration (Q1); Urban Studies (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Social Sciences"
42;21101177606;"Urban Governance";journal;"26643286";"Elsevier B.V.";Yes;No;0,796;Q1;12;33;70;2267;319;63;4,51;68,70;30,26;0;32;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Development (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
43;13936;"Journal of Urban Affairs";journal;"07352166, 14679906";"Taylor and Francis Ltd.";No;No;0,787;Q1;76;225;331;16534;921;317;2,69;73,48;43,05;5;179;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2025";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
44;21100208039;"International Journal of Urban Sustainable Development";journal;"19463138, 19463146";"Taylor and Francis Ltd.";Yes;No;0,783;Q1;29;27;92;1950;319;90;2,90;72,22;40,91;1;26;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2025";"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
45;28465;"Economic Development Quarterly";journal;"15523543, 08912424";"SAGE Publications Inc.";No;No;0,767;Q1;57;21;84;1015;158;59;1,68;48,33;47,62;0;18;United States;Northern America;"SAGE Publications Inc.";"1987-2025";"Development (Q1); Urban Studies (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Social Sciences"
46;19700182329;"City, Culture and Society";journal;"18779174, 18779166";"Elsevier Ltd";No;No;0,743;Q1;44;26;81;1759;264;78;2,45;67,65;44,00;0;16;United Kingdom;Western Europe;"Elsevier Ltd";"2010-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Urban Studies (Q1)";"Economics, Econometrics and Finance; Social Sciences"
47;21101107314;"Buildings and Cities";journal;"26326655";"Ubiquity Press";Yes;No;0,742;Q1;19;36;173;2103;563;163;2,55;58,42;50,00;0;31;United Kingdom;Western Europe;"Ubiquity Press";"2020-2024";"Architecture (Q1); Building and Construction (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2)";"Engineering; Environmental Science; Social Sciences"
48;21100413834;"Frontiers of Architectural Research";journal;"20952635, 20952643";"KeAi Communications Co.";Yes;No;0,730;Q1;46;103;213;5968;934;210;4,24;57,94;38,74;0;51;Netherlands;Western Europe;"KeAi Communications Co.";"2012-2025";"Archeology (Q1); Architecture (Q1); Building and Construction (Q1); Urban Studies (Q1)";"Engineering; Social Sciences"
49;23582;"Journal of Real Estate Finance and Economics";journal;"1573045X, 08955638";"Springer Netherlands";No;No;0,729;Q1;76;75;173;3644;441;173;2,62;48,59;24,40;6;39;Netherlands;Western Europe;"Springer Netherlands";"1988-2025";"Urban Studies (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
50;21101055039;"Cities and Health";journal;"23748834";"Taylor and Francis Ltd.";No;No;0,728;Q1;26;142;295;8721;804;268;2,00;61,42;52,57;4;121;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2025";"Urban Studies (Q1); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Social Sciences"
51;21100205751;"Journal of Public Transportation";journal;"1077291X, 23750901";"Elsevier B.V.";Yes;No;0,728;Q1;36;33;80;1985;263;80;3,30;60,15;36,45;0;26;Netherlands;Western Europe;"Elsevier B.V.";"2007, 2009-2018, 2020-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1); Transportation (Q2)";"Social Sciences"
52;6500153241;"City";journal;"13604813, 14703629";"Taylor and Francis Ltd.";No;No;0,714;Q1;70;63;157;3401;359;137;2,09;53,98;42,06;0;41;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
53;21100886530;"Area Development and Policy";journal;"23792957";"Routledge";No;No;0,706;Q1;26;40;78;2836;194;70;2,42;70,90;33,33;0;30;United Kingdom;Western Europe;"Routledge";"2016-2025";"Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Sociology and Political Science (Q1); Urban Studies (Q1); Public Administration (Q2)";"Environmental Science; Social Sciences"
54;19700170462;"Urban Policy and Research";journal;"14767244, 08111146";"Routledge";No;No;0,705;Q1;51;36;80;1406;171;71;1,97;39,06;55,81;0;24;United Kingdom;Western Europe;"Routledge";"1982-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
55;21100223534;"Journal of Transport and Land Use";journal;"19387849";"University of Minnesota";Yes;No;0,696;Q1;46;33;119;1732;306;119;2,44;52,48;32,99;0;25;United States;Northern America;"University of Minnesota";"2012-2024";"Geography, Planning and Development (Q1); Urban Studies (Q1); Transportation (Q2)";"Social Sciences"
56;13913;"Journal of Housing and the Built Environment";journal;"15737772, 15664910";"Springer Netherlands";No;No;0,687;Q1;60;107;282;7655;820;280;2,73;71,54;48,37;2;90;Netherlands;Western Europe;"Springer Netherlands";"1997-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
57;21100201015;"Archnet-IJAR: International Journal of Architectural Research";journal;"26316862, 19387806";"Emerald Publishing";Yes;No;0,679;Q1;28;109;136;5816;537;135;3,26;53,36;57,94;0;63;United Kingdom;Western Europe;"Emerald Publishing";"2011-2025";"Architecture (Q1); Cultural Studies (Q1); Urban Studies (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Engineering; Social Sciences"
58;19700201456;"Journal of Urbanism";journal;"17549175, 17549183";"Taylor and Francis Ltd.";No;No;0,667;Q1;35;77;123;4414;269;114;1,94;57,32;49,42;1;55;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
59;29645;"Urban Design International";journal;"13575317, 14684519";"Palgrave Macmillan Ltd.";No;No;0,661;Q1;44;32;84;1617;224;71;2,07;50,53;51,39;0;18;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996-2025";"Urban Studies (Q1); Geography, Planning and Development (Q2)";"Social Sciences"
60;13953;"Journal of Urban Design";journal;"14699664, 13574809";"Routledge";No;No;0,642;Q1;64;60;109;3108;228;98;2,00;51,80;44,12;0;39;United Kingdom;Western Europe;"Routledge";"1996-2025";"Arts and Humanities (miscellaneous) (Q1); Urban Studies (Q1); Geography, Planning and Development (Q2)";"Arts and Humanities; Social Sciences"
61;19700201157;"Urban Research and Practice";journal;"17535069, 17535077";"Taylor and Francis Ltd.";No;No;0,638;Q1;38;57;109;3296;279;106;2,49;57,82;46,85;4;37;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Urban Studies (Q1); Geography, Planning and Development (Q2)";"Social Sciences"
62;21101141748;"Urban Science";journal;"24138851";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,618;Q1;29;263;310;17708;1128;306;3,45;67,33;39,09;0;241;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2025";"Urban Studies (Q1); Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Pollution (Q2); Waste Management and Disposal (Q2)";"Environmental Science; Social Sciences"
63;21101085533;"Socio-Ecological Practice Research";journal;"25245279, 25245287";"Springer";No;No;0,603;Q1;19;32;95;2099;242;82;2,35;65,59;42,98;0;22;Germany;Western Europe;"Springer";"2019-2025";"Urban Studies (Q1); Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2)";"Environmental Science; Social Sciences"
64;21100897005;"Frontiers in Built Environment";journal;"22973362";"Frontiers Media SA";Yes;No;0,594;Q1;43;254;709;12736;2236;654;3,00;50,14;29,03;0;147;Switzerland;Western Europe;"Frontiers Media SA";"2015-2025";"Urban Studies (Q1); Building and Construction (Q2); Geography, Planning and Development (Q2)";"Engineering; Social Sciences"
65;14116;"Education and Urban Society";journal;"00131245, 15523535";"SAGE Publications Inc.";No;No;0,593;Q1;53;48;144;2772;286;143;1,81;57,75;66,13;3;29;United States;Northern America;"SAGE Publications Inc.";"1968-2025";"Urban Studies (Q1); Education (Q2)";"Social Sciences"
66;21100446524;"Journal of Entrepreneurship and Public Policy";journal;"20452101, 2045211X";"Emerald Group Publishing Ltd.";No;No;0,592;Q1;24;33;58;2675;172;53;2,12;81,06;29,49;0;24;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2025";"Urban Studies (Q1); Business and International Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
67;21100856191;"Urban Planning";journal;"21837635";"Cogitatio Press";Yes;No;0,592;Q1;33;117;388;5639;824;354;1,78;48,20;64,94;1;102;Portugal;Western Europe;"Cogitatio Press";"2016-2025";"Urban Studies (Q1)";"Social Sciences"
68;21100900597;"Journal of Urban Ecology";journal;"20585543";"Oxford University Press";Yes;No;0,590;Q1;22;22;94;1908;206;91;2,06;86,73;49,44;1;19;United States;Northern America;"Oxford University Press";"2015-2025";"Urban Studies (Q1); Ecology (Q2)";"Environmental Science; Social Sciences"
69;21101063730;"IET Smart Cities";journal;"26317680";"John Wiley and Sons Inc";Yes;No;0,588;Q1;19;27;66;1125;226;58;3,00;41,67;21,49;0;26;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2019-2025";"Urban Studies (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering; Social Sciences"
70;20600195509;"Surveillance and Society";journal;"14777487";"Surveillance Studies Network";Yes;Yes;0,579;Q2;59;35;141;2029;219;117;1,71;57,97;45,28;0;9;United Kingdom;Western Europe;"Surveillance Studies Network";"2002-2024";"Safety Research (Q1); Urban Studies (Q2)";"Social Sciences"
71;13931;"Journal of Property Research";journal;"14664453, 09599916";"Routledge";No;No;0,565;Q2;40;19;49;1326;236;49;3,38;69,79;24,39;0;7;United Kingdom;Western Europe;"Routledge";"1991-2025";"Geography, Planning and Development (Q2); Urban Studies (Q2)";"Social Sciences"
72;11900154359;"European Journal of Transport and Infrastructure Research";journal;"15677141, 15677133";"TU Delft";Yes;Yes;0,563;Q2;35;12;52;517;124;50;2,10;43,08;22,45;2;8;Netherlands;Western Europe;"TU Delft";"2008-2025";"Geography, Planning and Development (Q2); Transportation (Q2); Urban Studies (Q2)";"Social Sciences"
73;21101197408;"Frontiers in Future Transportation";journal;"26735210";"Frontiers Media SA";Yes;No;0,560;Q2;9;18;94;864;223;91;1,61;48,00;30,77;1;12;Switzerland;Western Europe;"Frontiers Media SA";"2020-2024";"Automotive Engineering (Q2); Control and Systems Engineering (Q2); Transportation (Q2); Urban Studies (Q2)";"Engineering; Social Sciences"
74;21100861552;"Noise Mapping";journal;"2084879X";"Walter de Gruyter GmbH";Yes;No;0,559;Q2;24;20;56;977;164;56;2,97;48,85;39,13;0;13;Germany;Western Europe;"Walter de Gruyter GmbH";"2014-2024";"Acoustics and Ultrasonics (Q2); Management, Monitoring, Policy and Law (Q2); Urban Studies (Q2)";"Environmental Science; Physics and Astronomy; Social Sciences"
75;21100242231;"Built Environment Project and Asset Management";journal;"2044124X, 20441258";"Emerald Group Publishing Ltd.";No;No;0,545;Q2;39;72;155;3674;528;148;2,97;51,03;27,59;0;53;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2025";"Architecture (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2); Engineering (miscellaneous) (Q2); Management Science and Operations Research (Q2); Urban Studies (Q2)";"Decision Sciences; Engineering; Social Sciences"
76;21100855506;"International Journal of E-Planning Research";journal;"21609926, 21609918";"IGI Global Publishing";No;No;0,523;Q2;16;5;49;291;119;49;0,78;58,20;38,46;0;3;United States;Northern America;"IGI Global Publishing";"2017-2024";"Computer Science Applications (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Computer Science; Social Sciences"
77;21100853663;"Urban Rail Transit";journal;"21996679, 21996687";"Springer Science and Business Media Deutschland GmbH";Yes;Yes;0,512;Q2;25;29;63;1187;176;63;2,70;40,93;36,94;1;22;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2015-2025";"Automotive Engineering (Q2); Civil and Structural Engineering (Q2); Electrical and Electronic Engineering (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Transportation (Q3)";"Engineering; Social Sciences"
