Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
16;21100265617;"Weather and Climate Extremes";journal;"22120947";"Elsevier B.V.";Yes;No;2,167;Q1;68;99;303;6396;2329;302;6,98;64,61;31,52;2;47;Netherlands;Western Europe;"Elsevier B.V.";"2013-2025";"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
17;30060;"World Development";journal;"0305750X, 18735991";"Elsevier B.V.";No;No;2,161;Q1;233;292;940;23080;6952;920;5,72;79,04;36,29;56;258;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2025";"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
18;18400156711;"Cambridge Journal of Regions, Economy and Society";journal;"17521386, 17521378";"Oxford University Press";No;No;2,144;Q1;78;48;119;3292;698;103;5,19;68,58;45,13;12;31;United Kingdom;Western Europe;"Oxford University Press";"2008-2025";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
19;21101182032;"Journal of Remote Sensing (United States)";journal;"26941589, 20970064";"American Association for the Advancement of Science";Yes;Yes;2,144;Q1;21;46;77;3452;652;75;6,93;75,04;35,61;1;18;United States;Northern America;"American Association for the Advancement of Science";"2021-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Geography, Planning and Development (Q1); Instrumentation (Q1)";"Earth and Planetary Sciences; Physics and Astronomy; Social Sciences"
20;21100218523;"Ecosystem Services";journal;"22120416";"Elsevier B.V.";No;No;2,065;Q1;125;100;341;9588;2710;331;7,58;95,88;44,66;4;80;Netherlands;Western Europe;"Elsevier B.V.";"2012-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science; Social Sciences"
21;13272;"Environment and Planning A";journal;"14723409, 0308518X";"SAGE Publications Ltd";No;No;2,047;Q1;162;152;339;9296;2126;326;5,43;61,16;42,31;0;71;United Kingdom;Western Europe;"SAGE Publications Ltd";"1973-2025";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Environmental Science; Social Sciences"
22;21101034454;"Geography and Sustainability";journal;"20967438, 26666839";"Beijing Normal University Press";Yes;No;2,023;Q1;33;60;113;4469;1269;109;9,00;74,48;38,89;0;57;China;Asiatic Region;"Beijing Normal University Press";"2020-2025";"Earth-Surface Processes (Q1); Ecology (Q1); Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
23;27470;"Antipode";journal;"00664812, 14678330";"Wiley-Blackwell Publishing Ltd";No;No;1,972;Q1;127;129;282;10257;1467;277;3,99;79,51;46,60;3;74;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1969-2025";"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";"Earth and Planetary Sciences; Social Sciences"
24;24034;"Democratization";journal;"13510347, 1743890X";"Taylor and Francis Ltd.";No;No;1,964;Q1;73;122;223;8983;1313;220;3,86;73,63;37,02;5;41;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2025";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
25;15111;"Progress in Planning";journal;"03059006";"Elsevier Ltd";No;No;1,963;Q1;60;12;36;2074;288;36;7,79;172,83;40,74;0;10;United Kingdom;Western Europe;"Elsevier Ltd";"1973-2025";"Geography, Planning and Development (Q1)";"Social Sciences"
