Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
108;21100889419;"Annals of Actuarial Science";journal;"17484995, 17485002";"Cambridge University Press";No;No;1,060;Q1;20;39;85;1546;185;77;1,18;39,64;21,51;0;10;United Kingdom;Western Europe;"Cambridge University Press";"2010-2025";"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
109;21100830444;"SIAM-ASA Journal on Uncertainty Quantification";journal;"21662525";"Society for Industrial and Applied Mathematics Publications";No;No;1,058;Q1;40;49;165;2322;415;165;2,04;47,39;21,60;0;2;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2013-2025";"Applied Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
110;19700182731;"Egyptian Informatics Journal";journal;"11108665, 20904754";"Elsevier B.V.";Yes;No;1,050;Q1;53;117;167;5751;1399;167;7,89;49,15;29,73;0;26;Netherlands;Western Europe;"Elsevier B.V.";"2010-2025";"Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
111;19400157006;"Judgment and Decision Making";journal;"19302975";"Society for Judgment and Decision making";Yes;No;1,032;Q2;78;36;151;2032;378;148;2,17;56,44;36,54;0;3;United States;Northern America;"Society for Judgment and Decision making";"2008-2025";"Economics and Econometrics (Q1); Applied Psychology (Q2); Decision Sciences (miscellaneous) (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Psychology"
112;144656;"Management Decision";journal;"00251747";"Emerald Group Publishing Ltd.";No;No;1,028;Q1;138;303;453;27350;3031;441;6,71;90,26;37,23;0;126;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1967-2025";"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences"
113;21100246506;"Journal of Choice Modelling";journal;"17555345";"Elsevier B.V.";Yes;No;1,027;Q1;42;40;110;2335;421;109;2,78;58,38;32,74;0;8;Netherlands;Western Europe;"Elsevier B.V.";"2008-2025";"Modeling and Simulation (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
114;21100198497;"Quality Technology and Quantitative Management";journal;"16843703";"Taylor and Francis Ltd.";No;No;1,018;Q1;30;73;109;2857;461;109;4,01;39,14;29,94;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2025";"Business and International Management (Q1); Industrial Relations (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Decision Sciences"
115;17300154971;"International Journal of Critical Infrastructure Protection";journal;"18745482";"Elsevier B.V.";No;No;1,016;Q1;52;50;116;2747;778;109;6,54;54,94;27,75;0;33;Netherlands;Western Europe;"Elsevier B.V.";"2008-2025";"Computer Science Applications (Q1); Information Systems and Management (Q1); Modeling and Simulation (Q1); Safety, Risk, Reliability and Quality (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
116;21100943534;"Transportation Research Interdisciplinary Perspectives";journal;"25901982";"Elsevier Ltd";Yes;No;1,010;Q1;56;295;650;17676;3468;645;4,55;59,92;35,09;7;206;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2025";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Urban Studies (Q1); Transportation (Q2)";"Decision Sciences; Engineering; Environmental Science; Social Sciences"
117;23947;"Journal of Multivariate Analysis";journal;"0047259X, 10957243";"Academic Press Inc.";No;No;1,009;Q1;93;92;338;3593;701;336;2,03;39,05;28,50;1;1;United States;Northern America;"Academic Press Inc.";"1971-2025";"Numerical Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
118;21101017158;"International Journal of Innovation Studies";journal;"20962487, 25892975";"KeAi Publishing Communications Ltd.";Yes;Yes;1,007;Q1;22;25;62;2304;425;60;7,40;92,16;39,71;0;15;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2017-2025";"Information Systems and Management (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Decision Sciences"
119;21100827466;"EURO Journal on Computational Optimization";journal;"21924406, 21924414";"Elsevier B.V.";Yes;No;1,006;Q1;22;18;74;581;248;70;2,02;32,28;32,56;0;0;Germany;Western Europe;"Elsevier B.V.";"2013-2025";"Computational Mathematics (Q1); Control and Optimization (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Decision Sciences; Mathematics"
120;15495;"Finance and Stochastics";journal;"14321122, 09492984";"Springer Verlag";No;No;1,002;Q1;56;30;80;1305;134;76;1,40;43,50;15,94;0;1;Germany;Western Europe;"Springer Verlag";"2004-2025";"Finance (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
121;9700153238;"International Transactions in Operational Research";journal;"09696016, 14753995";"John Wiley and Sons Inc";No;No;0,993;Q1;70;231;437;12009;1905;426;4,07;51,99;33,84;1;54;Denmark;Western Europe;"John Wiley and Sons Inc";"1994-2025";"Business and International Management (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
122;22902;"Oxford Bulletin of Economics and Statistics";journal;"03059049, 14680084";"Wiley-Blackwell Publishing Ltd";No;No;0,984;Q1;88;61;176;3260;362;176;1,59;53,44;23,68;13;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2025";"Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1); Economics and Econometrics (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
123;21101123946;"Open Journal of Mathematical Optimization";journal;"27775860";"Universite de Montpellier III";Yes;Yes;0,981;Q1;5;9;25;357;68;25;3,56;39,67;12,00;0;0;France;Western Europe;"Universite de Montpellier III";"2020-2025";"Control and Optimization (Q1); Management Science and Operations Research (Q1)";"Decision Sciences; Mathematics"
124;13734;"Biometrical Journal";journal;"03233847, 15214036";"Wiley-VCH Verlag";No;No;0,968;Q1;80;125;288;5561;561;282;1,48;44,49;37,27;0;31;Germany;Western Europe;"Wiley-VCH Verlag";"1959, 1964, 1966-1967, 1970, 1977-2025";"Medicine (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics; Medicine"
125;21100299408;"Supply Chain Forum";journal;"16246039, 16258312";"Taylor and Francis Ltd.";No;No;0,951;Q1;32;68;85;4764;536;82;6,72;70,06;29,95;0;24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Business and International Management (Q1); Management Science and Operations Research (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Decision Sciences"
126;21100255423;"R Journal";journal;"20734859";"Technische Universitaet Wien";Yes;No;0,949;Q1;65;14;250;433;660;247;0,99;30,93;33,33;0;0;Austria;Western Europe;"Technische Universitaet Wien";"2009-2024";"Numerical Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
127;21100211345;"Annals of Applied Statistics";journal;"19417330, 19326157";"Institute of Mathematical Statistics";No;No;0,944;Q1;91;168;387;8582;622;386;1,47;51,08;34,03;0;58;United States;Northern America;"Institute of Mathematical Statistics";"2008-2024";"Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
128;12140;"Journal of Time Series Analysis";journal;"01439782, 14679892";"Wiley-Blackwell";No;No;0,944;Q1;62;86;121;3131;172;110;1,51;36,41;29,14;0;2;United States;Northern America;"Wiley-Blackwell";"1980-2025";"Applied Mathematics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
129;19900192334;"Journal of Applied Accounting Research";journal;"09675426";"Emerald Group Publishing Ltd.";No;No;0,925;Q1;43;73;135;5688;935;134;7,00;77,92;29,55;0;40;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2002, 2004-2006, 2008-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems and Management (Q1); Accounting (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
130;21101065044;"Sustainable Futures";journal;"26661888";"Elsevier B.V.";Yes;No;0,923;Q1;24;254;97;18151;673;97;6,97;71,46;29,80;1;224;United Kingdom;Western Europe;"Elsevier B.V.";"2019-2025";"Management Science and Operations Research (Q1); Sociology and Political Science (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
131;12068;"International Statistical Review";journal;"03067734, 17515823";"John Wiley &amp; Sons Inc.";No;No;0,922;Q1;65;37;87;2212;256;82;2,48;59,78;35,14;0;5;United States;Northern America;"John Wiley &amp; Sons Inc.";"1982, 1985, 1987, 1990, 1992-1994, 1996-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
132;21100807851;"Journal of Global Operations and Strategic Sourcing";journal;"23985372, 23985364";"Emerald Publishing";No;No;0,921;Q1;34;43;89;3151;625;82;5,70;73,28;23,73;0;22;United Kingdom;Western Europe;"Emerald Publishing";"2017-2025";"Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
133;13530;"Journal of the Royal Statistical Society. Series A: Statistics in Society";journal;"09641998, 1467985X";"Oxford University Press";No;No;0,919;Q1;97;68;325;2655;547;270;1,35;39,04;35,07;6;22;United Kingdom;Western Europe;"Oxford University Press";"1988-2025";"Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1); Economics and Econometrics (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
134;22236;"Journal of the Operational Research Society";journal;"01605682, 14769360";"Taylor and Francis Ltd.";No;No;0,917;Q1;130;225;538;12935;2235;533;3,77;57,49;32,07;0;43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2025";"Management Information Systems (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics, Probability and Uncertainty (Q1); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
135;21100356018;"Big Data Research";journal;"22145796, 2214580X";"Elsevier Inc.";No;No;0,914;Q1;44;49;161;1897;908;158;5,13;38,71;27,18;0;13;United States;Northern America;"Elsevier Inc.";"2014-2025";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
136;21100200829;"International Journal of Engineering Business Management";journal;"18479790";"SAGE Publications Inc.";Yes;No;0,913;Q2;42;23;80;1735;599;80;7,42;75,43;33,80;0;9;Croatia;Eastern Europe;"SAGE Publications Inc.";"2009-2025";"Management Science and Operations Research (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Decision Sciences"
137;21100886542;"Journal of Management Analytics";journal;"23270039, 23270012";"Taylor and Francis Ltd.";No;No;0,897;Q1;38;30;82;1720;521;82;4,40;57,33;35,87;0;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2025";"Business, Management and Accounting (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Business, Management and Accounting; Decision Sciences; Mathematics"
138;7100153133;"Spatial Economic Analysis";journal;"17421780, 17421772";"Routledge";No;No;0,896;Q1;42;54;92;2614;215;78;2,06;48,41;26,40;4;26;United Kingdom;Western Europe;"Routledge";"2006-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Earth and Planetary Sciences; Economics, Econometrics and Finance; Social Sciences"
139;56494;"OR Spectrum";journal;"01716468, 14366304";"Springer Verlag";No;No;0,894;Q2;82;70;116;3962;433;114;2,43;56,60;22,75;0;15;Germany;Western Europe;"Springer Verlag";"1979-2025";"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
140;10900153330;"Enterprise Information Systems";journal;"17517583, 17517575";"Taylor and Francis Ltd.";No;No;0,888;Q1;65;60;215;4241;1295;206;6,32;70,68;28,42;0;20;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2025";"Information Systems and Management (Q1); Computer Science Applications (Q2)";"Computer Science; Decision Sciences"
141;21100446510;"Journal of Humanitarian Logistics and Supply Chain Management";journal;"20426747, 20426755";"Emerald Publishing";Yes;Yes;0,877;Q2;38;39;83;2965;434;81;4,11;76,03;41,57;0;24;United Kingdom;Western Europe;"Emerald Publishing";"2011-2025";"Management Information Systems (Q1); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
142;14072;"Scandinavian Journal of Statistics";journal;"14679469, 03036898";"Wiley-Blackwell Publishing Ltd";No;No;0,871;Q2;72;72;198;2701;249;190;1,19;37,51;30,17;0;7;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
143;11600154157;"TQM Journal";journal;"17542731";"Emerald Group Publishing Ltd.";No;No;0,870;Q2;83;211;327;17778;2426;322;7,24;84,26;32,27;0;104;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2025";"Business, Management and Accounting (miscellaneous) (Q1); Business and International Management (Q2); Decision Sciences (miscellaneous) (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
144;25802;"Communications in Analysis and Geometry";journal;"10198385";"International Press of Boston, Inc.";No;No;0,865;Q2;49;69;201;2315;143;201;0,55;33,55;19,69;0;0;United States;Northern America;"International Press of Boston, Inc.";"1996-2024";"Analysis (Q1); Geometry and Topology (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
145;21100830431;"Service Science";journal;"21643970, 21643962";"INFORMS Institute for Operations Research and the Management Sciences";No;No;0,859;Q2;27;19;55;1364;138;52;2,21;71,79;32,20;1;4;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2015-2024";"Modeling and Simulation (Q1); Business and International Management (Q2); Management Science and Operations Research (Q2); Marketing (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
146;20575;"Journal of Engineering and Technology Management - JET-M";journal;"18791719, 09234748";"Elsevier B.V.";No;No;0,856;Q1;80;40;91;3342;531;91;5,21;83,55;43,48;0;25;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Engineering (miscellaneous) (Q1); Information Systems and Management (Q1); Industrial Relations (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering"
147;21100836195;"Econometrics and Statistics";journal;"24523062";"Elsevier B.V.";No;No;0,852;Q2;20;77;188;3887;343;182;1,94;50,48;25,97;1;7;Netherlands;Western Europe;"Elsevier B.V.";"2017-2025";"Statistics and Probability (Q1); Economics and Econometrics (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
148;20043;"Scandinavian Actuarial Journal";journal;"03461238, 16512030";"Taylor and Francis Ltd.";No;No;0,842;Q2;47;58;123;2172;271;123;1,87;37,45;34,75;0;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1918-2025";"Statistics and Probability (Q1); Economics and Econometrics (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
149;21100897526;"Journal of Causal Inference";journal;"21933685, 21933677";"Walter de Gruyter GmbH";Yes;No;0,840;Q2;14;29;68;1467;138;67;1,88;50,59;30,43;1;3;Germany;Western Europe;"Walter de Gruyter GmbH";"2018-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
150;21101023806;"Annals of Data Science";journal;"21985812, 21985804";"Springer Science and Business Media Deutschland GmbH";No;No;0,832;Q2;32;142;179;6081;1006;176;6,44;42,82;32,62;0;30;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2025";"Business, Management and Accounting (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
151;21100235632;"Asian Journal of Shipping and Logistics";journal;"20925212";"Korean Association of Shipping and Logistics, Inc.";Yes;No;0,831;Q2;40;23;87;1034;399;87;5,02;44,96;49,18;0;9;Netherlands;Western Europe;"Korean Association of Shipping and Logistics, Inc.";"2009-2025";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
152;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";"Taylor and Francis Ltd.";No;No;0,822;Q2;56;94;203;7311;1194;194;6,01;77,78;40,86;0;26;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2025";"Library and Information Sciences (Q1); Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
153;21100862198;"EURO Journal on Transportation and Logistics";journal;"21924384, 21924376";"Elsevier B.V.";Yes;No;0,820;Q2;30;23;74;1803;214;70;2,89;78,39;27,12;0;8;Netherlands;Western Europe;"Elsevier B.V.";"2013-2025";"Modeling and Simulation (Q1); Management Science and Operations Research (Q2); Transportation (Q2)";"Decision Sciences; Mathematics; Social Sciences"
154;23614;"Statistics and Computing";journal;"09603174, 15731375";"Springer Netherlands";No;No;0,815;Q2;89;216;329;9055;672;329;1,70;41,92;25,91;1;20;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Computational Theory and Mathematics (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2); Theoretical Computer Science (Q2)";"Computer Science; Decision Sciences; Mathematics"
155;19900193531;"Advances in Decision Sciences";journal;"20903367, 20903359";"Asia University";Yes;No;0,814;Q1;23;4;84;260;326;84;3,79;65,00;26,67;0;2;Taiwan;Asiatic Region;"Asia University";"2010-2024";"Information Systems and Management (Q1); Decision Sciences (miscellaneous) (Q2); Management Science and Operations Research (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences"
156;19713;"Journal of High Technology Management Research";journal;"10478310";"Elsevier B.V.";No;No;0,814;Q1;57;20;49;1139;338;47;5,65;56,95;21,28;0;6;United Kingdom;Western Europe;"Elsevier B.V.";"1990-2024";"Information Systems and Management (Q1); Computer Science Applications (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
157;21100197952;"Journal of Rail Transport Planning and Management";journal;"22109706";"Elsevier B.V.";No;No;0,813;Q2;37;36;101;1768;345;100;3,42;49,11;22,22;1;11;Netherlands;Western Europe;"Elsevier B.V.";"2011-2025";"Civil and Structural Engineering (Q1); Modeling and Simulation (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics; Social Sciences"
158;21101046170;"Journal of Statistics and Data Science Education";journal;"26939169";"Taylor and Francis Ltd.";Yes;Yes;0,813;Q2;40;58;118;2424;314;106;2,33;41,79;58,45;0;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2021-2025";"Education (Q1); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Decision Sciences; Mathematics; Social Sciences"
159;88345;"Journal of Global Optimization";journal;"09255001, 15732916";"Springer Netherlands";No;No;0,807;Q2;102;139;371;5679;819;367;1,92;40,86;23,80;0;5;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Applied Mathematics (Q1); Business, Management and Accounting (miscellaneous) (Q1); Control and Optimization (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
160;20608;"Journal of Global Information Management";journal;"10627375, 15337995";"IGI Publishing";No;No;0,799;Q2;50;81;278;6917;1475;278;4,97;85,40;32,54;0;30;United States;Northern America;"IGI Publishing";"2002-2025";"Business and International Management (Q2); Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
161;21216;"MIT Sloan Management Review";journal;"15329194";"Massachusetts Institute of Technology";No;No;0,798;Q2;124;39;191;238;333;179;1,22;6,10;28,92;0;7;United States;Northern America;"Massachusetts Institute of Technology";"2001-2025";"Business and International Management (Q2); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
162;21100204505;"Australasian Journal of Information Systems";journal;"14498618, 13262238";"UQ Business School, The University of Queensland";Yes;Yes;0,796;Q2;32;18;81;1546;295;78;2,52;85,89;23,68;0;2;Australia;Pacific Region;"UQ Business School, The University of Queensland";"2007, 2009-2024";"Business, Management and Accounting (miscellaneous) (Q1); Human-Computer Interaction (Q2); Information Systems (Q2); Information Systems and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
163;14715;"Technology Analysis and Strategic Management";journal;"14653990, 09537325";"Routledge";No;No;0,794;Q2;92;538;355;25699;1904;352;4,80;47,77;39,99;9;316;United Kingdom;Western Europe;"Routledge";"1989-2025";"Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
164;21101126970;"Logistics";journal;"23056290";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,789;Q2;31;134;273;8521;1641;268;5,45;63,59;27,40;0;82;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2024";"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
165;21100834347;"Journal of Marketing Analytics";journal;"20503318, 20503326";"Springer International Publishing AG";No;No;0,787;Q2;28;139;125;10572;712;113;6,06;76,06;34,12;2;23;Switzerland;Western Europe;"Springer International Publishing AG";"2013-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
166;21101061990;"Journal of Applied Structural Equation Modeling";journal;"25904221";"Sarawak Research Society";Yes;Yes;0,784;Q2;13;10;31;1067;179;31;1,65;106,70;42,42;0;3;Malaysia;Asiatic Region;"Sarawak Research Society";"2017-2024";"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q2); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Decision Sciences"
167;21101271431;"International Journal of Smart Grid";journal;"2602439X";"ilhami Colak";No;No;0,781;Q2;13;23;58;627;200;58;3,59;27,26;18,64;0;16;Turkey;Middle East;"ilhami Colak";"2021-2024";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy (miscellaneous) (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences; Energy; Engineering"
168;19900192221;"Journal of Management Control";journal;"2191477X, 21914761";"Physica-Verlag";No;No;0,777;Q2;33;17;54;1427;204;48;3,88;83,94;38,46;0;3;Germany;Western Europe;"Physica-Verlag";"2011-2025";"Accounting (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
169;23966;"Journal of Optimization Theory and Applications";journal;"00223239, 15732878";"Springer New York";No;No;0,777;Q2;105;259;520;9147;1015;515;1,68;35,32;26,40;0;9;United States;Northern America;"Springer New York";"1967-2025";"Control and Optimization (Q1); Applied Mathematics (Q2); Management Science and Operations Research (Q2)";"Decision Sciences; Mathematics"
170;20670;"Journal of Organizational Change Management";journal;"09534814";"Emerald Group Publishing Ltd.";No;No;0,777;Q2;87;97;206;7409;983;200;4,40;76,38;43,82;0;28;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1988-2025";"Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
171;21101151498;"Futures and Foresight Science";journal;"25735152";"John Wiley and Sons Inc";No;No;0,776;Q2;15;24;84;1048;145;35;1,91;43,67;25,00;0;3;United States;Northern America;"John Wiley and Sons Inc";"2019-2025";"Business, Management and Accounting (miscellaneous) (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
172;21100790518;"International Journal of Management Science and Engineering Management";journal;"17509653, 17509661";"Taylor and Francis Ltd.";No;No;0,776;Q2;36;36;77;1591;354;74;4,52;44,19;27,71;0;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2025";"Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering"
173;13631;"American Statistician";journal;"00031305, 15372731";"Taylor and Francis Ltd.";No;No;0,775;Q2;103;60;152;2172;334;134;2,21;36,20;25,93;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1947-2025";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
174;21101082054;"Journal of Safety Science and Resilience";journal;"26664496, 20967527";"KeAi Communications Co.";Yes;No;0,775;Q2;19;39;100;2328;509;98;4,38;59,69;42,36;0;15;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
175;14233;"Statistical Papers";journal;"09325026, 16139798";"Springer New York";Yes;No;0,775;Q2;50;218;283;7657;547;281;1,55;35,12;29,02;2;15;United States;Northern America;"Springer New York";"1983, 1988-2025";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
176;21100379294;"Operations Research Perspectives";journal;"22147160";"Elsevier Ltd";Yes;No;0,761;Q2;37;21;94;1591;442;93;5,25;75,76;27,59;0;9;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2025";"Control and Optimization (Q1); Management Science and Operations Research (Q2); Statistics and Probability (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
